symbol,screener_slug,q_eps_latest,q_eps_yoy_base,q_eps_yoy_pct,a_eps_latest,a_eps_prev,a_eps_yoy_pct,fetch_status,error
AMBUJACEM,AMBUJACEM,,,,,,,error,http_429
ANANDRATHI,ANANDRATHI,12.3100,8.7200,41.1697,47.1500,35.5800,32.5183,ok,
ANANTRAJ,ANANTRAJ,,,,,,,error,http_429
ANGELONE,ANGELONE,3.8600,2.0000,93.0000,11.2300,13.4700,-16.6295,ok,
ANTHEM,ANTHEM,,,,,,,error,http_429
ANUP,ANUP,12.3400,15.6600,-21.2005,55.7200,58.3500,-4.5073,ok,
ANURAS,ANURAS,,,,,,,error,http_429
APARINDS,APARINDS,51.6900,43.8300,17.9329,239.8900,197.5900,21.4080,ok,
APLAPOLLO,APLAPOLLO,,,,,,,error,http_429
APLLTD,APLLTD,5.8200,4.3700,33.1808,24.0400,25.6000,-6.0938,ok,
APOLLO,APOLLO,,,,,,,error,http_429
APOLLOHOSP,APOLLOHOSP,26.6700,23.7600,12.2475,100.4000,90.1600,11.3576,ok,
APOLLOTYRE,APOLLOTYRE,,,,,,,error,http_429
APTUS,APTUS,3.1900,2.8400,12.3239,13.7100,11.5100,19.1138,ok,
ARE&M,ARE&M,,,,,,,error,http_429
ARVIND,ARVIND,,,,,,,error,http_429
ARVINDFASN,ARVINDFASN,-1.3300,-0.1600,-731.2500,-1.6400,2.8300,-157.9505,ok,
ASAHIINDIA,ASAHIINDIA,,,,,,,error,http_429
ASHAPURMIN,ASHAPURMIN,2.0100,2.7300,-26.3736,14.0200,8.8500,58.4181,ok,
ASHOKA,ASHOKA,,,,,,,error,http_429
ASHOKLEY,ASHOKLEY,1.3600,1.3000,4.6154,5.8000,5.6200,3.2028,ok,
ASIANPAINT,ASIANPAINT,,,,,,,error,http_429
ASKAUTOLTD,ASKAUTOLTD,3.0800,2.7500,12.0000,10.9200,10.7900,1.2048,ok,
ASTERDM,ASTERDM,,,,,,,error,http_429
ASTRAL,ASTRAL,4.7200,4.6900,0.6397,20.9700,21.0800,-0.5218,ok,
ASTRAMICRO,ASTRAMICRO,,,,,,,error,http_429
ATGL,ATGL,1.4300,1.3000,10.0000,5.7300,5.8900,-2.7165,ok,
ATHERENERG,ATHERENERG,,,,,,,error,http_429
ATLANTAELE,ATLANTAELE,6.4300,3.1100,106.7524,20.9500,16.5800,26.3571,ok,
ATUL,ATUL,,,,,,,error,http_429
AUBANK,AUBANK,8.9400,7.1000,25.9155,31.0200,28.2900,9.6501,ok,
AURIONPRO,AURIONPRO,,,,,,,error,http_429
AUROPHARMA,AUROPHARMA,10.0200,8.1300,23.2472,36.6900,30.0800,21.9747,ok,
AVALON,AVALON,,,,,,,error,http_429
AVANTIFEED,AVANTIFEED,9.4600,9.3300,1.3934,42.2000,36.1300,16.8004,ok,
AVL,AVL,,,,,,,error,http_429
AWFIS,AWFIS,2.8900,2.0500,40.9756,7.8400,9.2400,-15.1515,ok,
AWL,AWL,,,,,,,error,http_429
AXISBANK,AXISBANK,20.9000,20.3700,2.6019,79.0000,85.1500,-7.2225,ok,
AXISCADES,AXISCADES,,,,,,,error,http_429
AZAD,AZAD,5.2700,4.1100,28.2238,19.0500,13.7100,38.9497,ok,
BAJAJ,BAJAJ,,,,,,,error,http_429
BAJAJELEC,BAJAJELEC,-2.5300,2.8900,-187.5433,4.0000,11.5700,-65.4278,ok,
BAJAJFINSV,BAJAJFINSV,,,,,,,error,http_429
BAJAJHFL,BAJAJHFL,0.8000,0.6600,21.2121,2.9700,2.6000,14.2308,ok,
BAJAJHLDNG,BAJAJHLDNG,,,,,,,error,http_429
BAJFINANCE,BAJFINANCE,7.3600,5.9900,22.8715,27.1800,26.8100,1.3801,ok,
BALAMINES,BALAMINES,,,,,,,error,http_429
BALKRISIND,BALKRISIND,19.4000,22.7300,-14.6502,66.6700,84.2300,-20.8477,ok,
BALRAMCHIN,BALRAMCHIN,,,,,,,error,http_429
BALUFORGE,BALUFORGE,3.3500,3.6300,-7.7135,12.9800,12.2600,5.8728,ok,
BANCOINDIA,BANCOINDIA,,,,,,,error,http_429
BANDHANBNK,BANDHANBNK,1.2800,2.6500,-51.6981,6.2500,17.0400,-63.3216,ok,
BANKBARODA,BANKBARODA,,,,,,,error,http_429
BANKINDIA,BANKINDIA,5.9400,5.5300,7.4141,22.2700,20.2500,9.9753,ok,
BATAINDIA,BATAINDIA,,,,,,,error,http_429
BAYERCROP,BAYERCROP,21.2900,7.6100,179.7635,149.1700,126.3800,18.0329,ok,
BBOX,BBOX,,,,,,,error,http_429
BBTC,BBTC,14.6900,13.7700,6.6812,22.3400,17.0900,30.7197,ok,
BDL,BDL,,,,,,,error,http_429
BECTORFOOD,BECTORFOOD,1.0800,0.8900,21.3483,3.8300,3.9400,-2.7919,ok,
BEL,BEL,,,,,,,error,http_429
BELRISE,BELRISE,1.3100,1.4000,-6.4286,5.5300,5.1100,8.2192,ok,
BEML,BEML,,,,,,,error,http_429
BERGEPAINT,BERGEPAINT,2.5600,2.6300,-2.6616,8.6200,9.2400,-6.7100,ok,
BHARATFORG,BHARATFORG,,,,,,,error,http_429
BHARTIARTL,BHARTIARTL,7.1700,16.1500,-55.6037,38.0800,41.2200,-7.6177,ok,
BHARTIHEXA,BHARTIHEXA,,,,,,,error,http_429
BHEL,BHEL,1.1000,0.3600,205.5556,2.3000,1.4700,56.4626,ok,
BIKAJI,BIKAJI,,,,,,,error,http_429
BIOCON,BIOCON,-0.5700,4.8600,-111.7284,0.0800,5.0700,-98.4221,ok,
BIRLACORPN,BIRLACORPN,,,,,,,error,http_429
BLACKBUCK,BLACKBUCK,1.7900,-2.7300,165.5678,21.2500,-0.5100,4266.6667,ok,
BLS,BLS,,,,,,,error,http_429
BLUEDART,BLUEDART,29.5200,33.3400,-11.4577,105.2300,103.1000,2.0660,ok,
BLUEJET,BLUEJET,,,,,,,error,http_429
BLUESTARCO,BLUESTARCO,2.1300,4.7100,-54.7771,18.4600,23.5800,-21.7133,ok,
BLUESTONE,BLUESTONE,,,,,,,error,http_429
BORORENEW,BORORENEW,,,,,,,error,http_429
BOSCHLTD,BOSCHLTD,180.4100,155.3600,16.1238,934.2400,682.6200,36.8609,ok,
BPCL,BPCL,,,,,,,error,http_429
BRIGADE,BRIGADE,3.3900,3.7300,-9.1153,16.2000,18.6300,-13.0435,ok,
BRITANNIA,BRITANNIA,,,,,,,error,http_429
BSE,BSE,13.5600,6.4100,111.5445,47.5200,27.3900,73.4940,ok,
BSOFT,BSOFT,,,,,,,error,http_429
CAMPUS,CAMPUS,2.0800,1.5200,36.8421,4.6200,3.9700,16.3728,ok,
CAMS,CAMS,,,,,,,error,http_429
CANBK,CANBK,5.6800,4.5200,25.6637,21.7000,18.7700,15.6100,ok,
CANFINHOME,CANFINHOME,,,,,,,error,http_429
CANHLIFE,CANHLIFE,0.2900,0.3900,-25.6410,1.2300,1.1900,3.3613,ok,
CAPILLARY,CAPILLARY,,,,,,,error,http_429
CAPLIPOINT,CAPLIPOINT,11.4800,9.8300,16.7854,47.6600,44.6600,6.7174,ok,
CARBORUNIV,CARBORUNIV,,,,,,,error,http_429
CARTRADE,CARTRADE,5.9800,5.1500,16.1165,21.3700,15.7000,36.1146,ok,
CASTROLIND,CASTROLIND,,,,,,,error,http_429
CCAVENUE,CCAVENUE,0.0700,0.1300,-46.1538,0.5300,0.4600,15.2174,ok,
CCL,CCL,,,,,,,error,http_429
CDSL,CDSL,5.7400,5.0200,14.3426,22.9700,22.1100,3.8896,ok,
CEATLTD,CEATLTD,47.3600,23.7300,99.5786,155.6300,119.1800,30.5840,ok,
CELLO,CELLO,,,,,,,error,http_429
CEMPRO,CEMPRO,6.4000,5.0700,26.2327,27.2700,21.7000,25.6682,ok,
CENTRALBK,CENTRALBK,,,,,,,error,http_429
CENTURYPLY,CENTURYPLY,2.6400,2.8700,-8.0139,12.1600,12.8100,-5.0742,ok,
CERA,CERA,,,,,,,error,http_429
CESC,CESC,1.3300,1.3000,2.3077,6.3900,6.0300,5.9701,ok,
CGCL,CGCL,,,,,,,error,http_429
CGPOWER,CGPOWER,1.9800,1.6000,23.7500,7.6000,6.3700,19.3093,ok,
CHALET,CHALET,,,,,,,error,http_429
CHAMBLFERT,CHAMBLFERT,14.0900,12.5900,11.9142,47.5200,41.3500,14.9214,ok,
CHENNPETRO,CHENNPETRO,,,,,,,error,http_429
CHOICEIN,CHOICEIN,,,,,,,error,http_429
CHOLAFIN,CHOLAFIN,15.2600,12.9200,18.1115,57.5500,50.6400,13.6453,ok,
CHOLAHLDNG,CHOLAHLDNG,,,,,,,error,http_429
CIEINDIA,CIEINDIA,3.5200,3.0600,15.0327,16.2600,15.3800,5.7217,ok,
CIGNITITEC,CIGNITITEC,,,,,,,error,http_429
CIPLA,CIPLA,7.6400,17.8100,-57.1028,57.1500,63.8600,-10.5074,ok,
CLEAN,CLEAN,,,,,,,error,http_429
CMSINFO,CMSINFO,3.4000,4.8100,-29.3139,18.1500,20.0100,-9.2954,ok,
COALINDIA,COALINDIA,,,,,,,error,http_429
COCHINSHIP,COCHINSHIP,5.2300,7.0100,-25.3923,27.0300,32.0400,-15.6367,ok,
COFORGE,COFORGE,,,,,,,error,http_429
COHANCE,COHANCE,1.2400,6.0400,-79.4702,9.8900,10.6700,-7.3102,ok,
COLPAL,COLPAL,,,,,,,error,http_429
CONCOR,CONCOR,4.3200,4.5100,-4.2129,16.6200,16.7000,-0.4790,ok,
CONCORDBIO,CONCORDBIO,,,,,,,error,http_429
COROMANDEL,COROMANDEL,17.9600,17.8300,0.7291,76.0800,65.8700,15.5002,ok,
CORONA,CORONA,,,,,,,error,http_429
CPPLUS,CPPLUS,,,,,,,error,http_429
CRAFTSMAN,CRAFTSMAN,23.5700,2.2200,961.7117,71.5400,39.2700,82.1747,ok,
CRAMC,CRAMC,,,,,,,error,http_429
CREDITACC,CREDITACC,15.7500,-6.2400,352.4038,30.3500,33.2700,-8.7767,ok,
CRISIL,CRISIL,,,,,,,error,http_429
CRIZAC,CRIZAC,2.4100,2.1000,14.7619,9.3500,6.2400,49.8397,ok,
CROMPTON,CROMPTON,,,,,,,error,http_429
CSBBANK,CSBBANK,8.8000,8.7400,0.6865,35.8600,34.2300,4.7619,ok,
CUB,CUB,,,,,,,error,http_429
CUMMINSIND,CUMMINSIND,16.3500,18.5400,-11.8123,79.4200,68.7500,15.5200,ok,
CUPID,CUPID,,,,,,,error,http_429
CYIENT,CYIENT,-13.1100,6.4200,-304.2056,21.2400,101.2800,-79.0284,ok,
DABUR,DABUR,,,,,,,error,http_429
DALBHARAT,DALBHARAT,1.0700,0.3700,189.1892,7.6900,10.1300,-24.0869,ok,
DATAMATICS,DATAMATICS,,,,,,,error,http_429
DATAPATTNS,DATAPATTNS,10.4100,7.9800,30.4511,44.1300,39.6200,11.3831,ok,
DBL,DBL,,,,,,,error,http_429
DBREALTY,DBREALTY,2.1300,-0.0700,3142.8571,1.6000,-3.4900,145.8453,ok,
DCBBANK,DCBBANK,,,,,,,error,http_429
DCMSHRIRAM,DCMSHRIRAM,12.9100,15.9700,-19.1609,41.1100,36.3300,13.1572,ok,
DEEPAKFERT,DEEPAKFERT,,,,,,,error,http_429
DEEPAKNTR,DEEPAKNTR,,,,,,,error,http_429
DELHIVERY,DELHIVERY,1.0100,0.5100,98.0392,3.1400,1.5100,107.9470,ok,
DEVYANI,DEVYANI,-0.1000,0.0400,-350.0000,-0.2800,0.2000,-240.0000,ok,
